,btc avg,coin api,cryptocompare,poloniex
POLY,False,False,True,True
SNT,False,False,True,True
OMG,False,False,True,True
BNB,False,False,True,False
QNT,False,False,True,False
BLT,False,False,True,False
LRC,False,False,True,False
TRX,False,True,True,False
WINGS,False,False,True,False
BLZ,False,False,True,False
KNC,False,False,True,True
GTO,False,False,True,False
WTC,False,False,True,False
RCN,False,False,True,False
SNGLS,False,False,True,False
ORBS,False,False,True,False
UPP,False,False,True,False
DAI,False,False,True,False
DMT,False,False,True,False
POWR,False,False,True,False
DOCK,False,False,True,False
BTC,True,True,True,False
MTH,False,False,True,False
MTL,False,False,True,False
ANT,False,False,True,False
INS,False,False,True,False
PTOY,False,False,True,False
LTC,True,True,True,True
MANA,False,False,True,True
GVT,False,False,True,False
CND,False,False,True,False
IOST,False,False,True,False
TUSD,False,True,True,False
BCH,True,True,True,False
LBA,False,False,True,False
GNT,False,False,True,True
GUP,False,False,True,False
CVC,False,False,True,True
IOTX,False,False,True,False
ENJ,False,False,True,False
HST,False,False,True,False
GNO,False,False,True,False
USDC,False,False,True,False
LOOM,False,False,True,True
ETH,True,True,True,True
JNT,False,False,True,False
CTXC,False,False,True,False
TNT,False,False,True,False
MLN,False,False,True,False
STORJ,False,False,True,True
ELF,False,False,True,False
OAX,False,False,True,False
BAT,False,False,True,True
EDO,False,False,True,False
AGI,False,False,True,False
EDG,False,False,True,False
RDN,False,False,True,False
LUN,False,False,True,False
NMR,False,False,True,True
BOXX,False,False,True,False
VIB,False,False,True,False
QSP,False,False,True,False
AST,False,False,True,False
DNT,False,False,True,False
BNT,False,False,True,True
QKC,False,False,True,False
SRN,False,False,True,False
REN,False,False,True,False
REP,False,False,True,True
REQ,False,False,True,False
DGD,False,False,True,False
ZRX,False,False,True,True
ARN,False,False,True,False
MCO,False,False,True,False
ZIL,False,False,True,False
AE,False,False,True,False
PAY,False,False,True,False
VIBE,False,False,True,False
